run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,1631.1,1532.2,318.63,8.97,5,49,12.982,True
2,1647.06,1605.6,337.03,10.11,5,51,13.109,True
3,1654.04,1552.72,325.8,13.16,5,50,13.171,True
4,1644.94,1545.57,335.09,13.69,5,49,12.144,True
5,1640.48,1552.88,330.41,12.18,5,50,12.479,True
6,1661.21,1562.47,319.77,7.38,5,49,12.827,True
7,1651.11,1593.86,330.28,14.21,5,50,13.053,True
8,1652.49,1553.91,318.33,5.82,5,49,12.949,True
9,1637.24,1545.52,340.98,16.12,5,49,13.083,True
10,1665.14,1598.97,335.94,12.47,5,49,12.264,True
11,1650.49,1553.34,330.68,13.89,5,49,6.613,True
12,1655.06,1610.43,344.59,16.85,5,51,9.86,True
13,1635.15,1536.68,313.22,4.69,5,49,13.519,True
14,1658.18,1564.39,335.52,13.24,5,49,13.248,True
15,1651.69,1577.71,337.64,11.86,5,51,13.29,True
16,1648.0,1605.34,333.67,14.33,5,51,12.449,True
17,1648.74,1565.81,323.76,8.16,5,51,13.186,True
18,1662.42,1561.77,321.53,6.43,5,50,13.384,True
19,1655.02,1557.78,324.85,7.71,5,49,12.74,True
20,1659.08,1567.62,320.07,6.71,5,49,13.068,True
